sample	average_genome_size
M3_1	4167025.5119323684
M5_1	4230834.330701276
M7_1	4143716.615574614
M9_1	4508851.968590952
O1_1	3654035.7487724237
O3_1	4286024.535720636
P21_1	3982918.3268294004
B1_2	4026409.699056333
B3_2	4248026.621553928
J19_2	4399749.66833089
J21_2	3947346.4030164382
M22_2	4002402.3674592036
O10_2	5179469.454286799
O12_2	4516070.789290635
O14_2	3822405.761341854
O16_2	4324417.142357884
O18_2	5038048.389807537
O20_2	3875575.9993921677
O22_2	3975703.081084755
O2_2	4044720.797685888
O4_2	6653184.62130353
O6_2	4576302.545510238
O8_2	5295746.102846954
C17_1	3219434.3510141727
C19_1	3673550.3089326364
A10_2	3275763.686204935
A12_2	2890922.70458539
A2_2	2741046.133466191
A4_2	3327254.3832136123
A6_2	4419275.008898398
A8_2	3050962.735042381
O11_2	2606375.4409438325
O13_2	4784284.548782226
O15_2	4133041.2371810596
O17_2	2723557.653448705
O19_2	1812882.9951690875
O21_2	4336505.125753033
O23_2	3626078.8260106905
O7_2	3591335.537749955
O9_2	3161184.525293636
E14_2	6991432.797672339
E20_2	3656594.776041796
E2_2	4520248.090484979
E4_2	3025816.1689943178
E6_2	3496590.019890926
E8_2	3918780.349362159
F19_2	2719835.5111719547
H11_2	4497497.588036678
H15_2	2237751.425671885
H17_2	1823711.1195097412
H19_2	2348408.2756991875
H1_2	2674620.1574776825
H21_2	3896758.2943123984
H23_2	4338844.311929575
H3_2	3173599.3176712045
H7_2	3061107.9692014945
H9_2	3810212.197475767
J3_2	3304539.7962665684
J17_2	3958400.1050121905
K12_2	3289932.08769574
K14_2	4996869.905810457
K16_2	3449756.1499271607
K18_2	1296723.6588144908
K20_2	3132605.8065799344
K22_2	4817227.462527206
M10_2	4383622.596954192
M12_2	3254765.431713622
M14_2	3308076.0098816226
M18_2	2987029.1917227767
M2_2	4443758.250136364
M6_2	3452426.5318659157
M8_2	3030754.2778543415
B11_2	3654496.4172447305
B13_2	3647090.703691422
B15_2	3642087.996993623
B17_2	3687412.614165169
B19_2	3759055.8520702226
B21_2	3895876.2968298024
B23_2	3324538.04160509
B5_2	3892141.3388301516
B7_2	3793176.37653864
B9_2	3995675.30096973
D1_2	3863392.25553845
D3_2	3640058.1390399626
D7_2	3772917.610646285
D9_2	3910138.7552428246
C1_2	3399629.8903925316
C3_2	2831588.313886968
C5_2	2607176.656000385
C7_2	2549087.217039106
C9_2	3051075.5134885395
I1_2	2751516.8162348205
C13_1	2572504.964946489
C15_1	2525896.2837102786
