Capsule_1.k141_169677_2/320-434,Capsule_1.k141_169677_2,453,92.2,6e-25,2.5,115,34.7,9.2e-11,1.4e-07,0.2,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_421633_3/8-148,Capsule_1.k141_421633_3,292,91.3,1.1e-24,2.1,141,62.3,4.4e-19,6.6e-16,0.0,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_421633_3/160-275,Capsule_1.k141_421633_3,292,91.3,1.1e-24,2.1,116,28.9,5.4e-09,8.2e-06,0.4,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_159551_1/32-167,Capsule_1.k141_159551_1,299,91.1,1.2e-24,2.0,136,57.9,9.3e-18,1.4e-14,0.1,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_159551_1/181-292,Capsule_1.k141_159551_1,299,91.1,1.2e-24,2.0,112,33.2,2.6e-10,4e-07,0.2,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_53199_142/34-283,Capsule_1.k141_53199_142,288,90.4,2e-24,1.1,250,86.2,2.5e-26,3.8e-23,1.0,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_173114_35/29-299,Capsule_1.k141_173114_35,307,90.0,2.6e-24,1.4,271,89.6,2.5e-27,3.7e-24,1.4,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_149326_2/34-298,Capsule_1.k141_149326_2,304,87.6,1.5e-23,1.5,265,86.4,2.1e-26,3.2e-23,1.5,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_254409_4/22-288,Capsule_1.k141_254409_4,295,85.6,5.9e-23,2.9,267,85.0,5.9e-26,8.9e-23,2.9,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_303384_3/25-299,Capsule_1.k141_303384_3,312,83.5,2.5e-22,3.3,275,83.1,2.2e-25,3.3e-22,3.3,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_83218_3/38-178,Capsule_1.k141_83218_3,305,82.6,4.6e-22,2.4,141,57.4,1.3e-17,2e-14,0.1,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_83218_3/185-297,Capsule_1.k141_83218_3,305,82.6,4.6e-22,2.4,113,25.4,6.3e-08,9.5e-05,0.8,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_38583_3/31-156,Capsule_1.k141_38583_3,287,80.6,1.8e-21,6.0,126,45.7,4.4e-14,6.6e-11,0.4,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_38583_3/171-278,Capsule_1.k141_38583_3,287,80.6,1.8e-21,6.0,108,37.1,1.8e-11,2.7e-08,0.8,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_315437_62/162-297,Capsule_1.k141_315437_62,450,80.6,1.9e-21,3.5,136,50.7,1.4e-15,2.1e-12,0.2,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_315437_62/311-422,Capsule_1.k141_315437_62,450,80.6,1.9e-21,3.5,112,30.9,1.3e-09,2e-06,0.3,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_469071_1/31-153,Capsule_1.k141_469071_1,287,80.1,2.7e-21,7.7,123,45.4,5.5e-14,8.2e-11,0.1,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_469071_1/170-278,Capsule_1.k141_469071_1,287,80.1,2.7e-21,7.7,109,35.7,4.8e-11,7.2e-08,3.6,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_210476_4/24-170,Capsule_1.k141_210476_4,311,79.5,4e-21,0.3,147,53.4,2.1e-16,3.2e-13,0.0,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_210476_4/178-288,Capsule_1.k141_210476_4,311,79.5,4e-21,0.3,111,25.1,7.3e-08,0.00011,0.1,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_301915_2/2-240,Capsule_1.k141_301915_2,246,79.3,4.6e-21,1.8,239,77.0,1.5e-23,2.3e-20,1.8,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_285612_2/22-288,Capsule_1.k141_285612_2,296,79.3,4.8e-21,1.8,267,78.7,4.7e-24,7.1e-21,1.8,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_216209_85/32-154,Capsule_1.k141_216209_85,288,79.2,5.2e-21,3.8,123,41.0,1.2e-12,1.7e-09,0.4,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_216209_85/171-280,Capsule_1.k141_216209_85,288,79.2,5.2e-21,3.8,110,39.1,4.6e-12,6.9e-09,0.7,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_181401_5/23-164,Capsule_1.k141_181401_5,308,77.7,1.4e-20,2.1,142,54.2,1.2e-16,1.8e-13,0.1,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
